,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
683,sola,-10.799999999999969,172.00000000000034,83.12,75,63,14.32
684,asau,-10.799999999999969,178.40000000000032,82.78,77,48,16.28
686,sataua,-3.599999999999966,-173.6,82.02,62,80,10.98
687,samalaeulu,-3.599999999999966,-167.2,80.31,63,10,10.67
700,el alto,-3.599999999999966,-83.99999999999991,66.24,89,42,12.12
701,gualaquiza,-3.599999999999966,-77.59999999999991,74.79,80,60,1.9
702,puerto narino,-3.599999999999966,-71.1999999999999,73.0,99,100,2.24
703,tefe,-3.599999999999966,-64.7999999999999,76.69,92,99,3.89
704,itacoatiara,-3.599999999999966,-58.39999999999989,78.6,75,93,1.7
705,altamira,-3.599999999999966,-51.999999999999886,75.36,88,100,2.06
706,santa ines,-3.599999999999966,-45.59999999999988,80.37,73,93,5.64
707,umirim,-3.599999999999966,-39.199999999999875,80.85,78,76,5.08
708,touros,-3.599999999999966,-32.79999999999987,79.43,80,41,17.13
709,nisia floresta,-3.599999999999966,-26.399999999999864,79.14,81,22,13.6
712,harper,-3.599999999999966,-7.1999999999998465,75.43,72,100,12.1
713,takoradi,-3.599999999999966,-0.7999999999998408,74.84,70,100,8.25
714,omboue,-3.599999999999966,5.600000000000165,74.68,77,53,6.31
715,loubomo,-3.599999999999966,12.00000000000017,71.44,96,98,3.87
716,bulungu,-3.599999999999966,18.400000000000176,70.11,96,100,2.75
717,kindu,-3.599999999999966,24.800000000000182,69.53,97,100,1.45
718,kakonko,-3.599999999999966,31.200000000000188,68.92,68,76,1.79
719,lembeni,-3.599999999999966,37.60000000000019,61.93,75,95,5.3
720,bur gabo,-3.599999999999966,44.0000000000002,78.94,79,90,15.41
726,matara,-3.599999999999966,82.4000000000002,81.45,76,84,3.56
727,meulaboh,-3.599999999999966,88.80000000000024,82.26,69,69,0.29
728,padang,-3.599999999999966,95.20000000000027,81.82,76,85,8.19
730,manggar,-3.599999999999966,108.00000000000023,82.15,73,100,3.15
731,banjarmasin,-3.599999999999966,114.40000000000026,77.25,84,97,6.91
732,singkang,-3.599999999999966,120.8000000000003,82.11,73,58,1.59
733,ambon,-3.599999999999966,127.20000000000027,76.15,75,32,2.01
734,nabire,-3.599999999999966,133.60000000000025,80.38,85,84,2.44
735,vanimo,-3.599999999999966,140.00000000000028,76.53,91,98,0.51
736,madang,-3.599999999999966,146.40000000000032,83.05,72,74,4.34
737,namatanai,-3.599999999999966,152.8000000000003,83.21,74,99,7.07
738,kieta,-3.599999999999966,159.20000000000027,82.63,74,35,8.08
740,utiroa,-3.599999999999966,172.00000000000034,82.51,66,70,17.2
741,rungata,-3.599999999999966,178.40000000000032,82.33,66,9,16.06
744,saleaula,3.600000000000037,-167.2,80.53,68,15,10.67
745,hilo,3.600000000000037,-160.79999999999998,79.99,67,15,11.14
752,san patricio,3.600000000000037,-115.99999999999994,74.77,80,27,14.34
753,lazaro cardenas,3.600000000000037,-109.59999999999994,75.7,78,95,13.02
757,burica,3.600000000000037,-83.99999999999991,77.43,81,96,12.95
758,buenaventura,3.600000000000037,-77.59999999999991,78.87,83,89,9.46
759,puerto gaitan,3.600000000000037,-71.1999999999999,75.42,91,77,2.35
760,inirida,3.600000000000037,-64.7999999999999,66.58,97,100,2.26
761,lethem,3.600000000000037,-58.39999999999989,76.14,89,85,2.98
762,saint-georges,3.600000000000037,-51.999999999999886,76.57,79,77,4.9
763,salinopolis,3.600000000000037,-45.59999999999988,81.86,76,78,15.97
764,itarema,3.600000000000037,-39.199999999999875,79.52,78,85,6.33
766,sao filipe,3.600000000000037,-26.399999999999864,78.26,79,100,1.88
767,goderich,3.600000000000037,-19.999999999999858,80.46,78,100,9.06
768,robertsport,3.600000000000037,-13.599999999999852,80.38,78,89,14.67
769,tabou,3.600000000000037,-7.1999999999998465,80.28,80,73,14.58
770,cape coast,3.600000000000037,-0.7999999999998408,80.78,78,100,14.36
771,yenagoa,3.600000000000037,5.600000000000165,80.71,76,99,7.54
772,akonolinga,3.600000000000037,12.00000000000017,64.58,99,98,0.89
773,mongoumba,3.600000000000037,18.400000000000176,70.02,98,100,2.21
774,buta,3.600000000000037,24.800000000000182,68.63,96,100,2.19
775,yumbe,3.600000000000037,31.200000000000188,64.15,97,100,3.74
776,mega,3.600000000000037,37.60000000000019,76.5,58,95,18.01
777,xuddur,3.600000000000037,44.0000000000002,68.7,93,100,15.37
778,hobyo,3.600000000000037,50.400000000000205,79.36,79,52,15.61
779,eyl,3.600000000000037,56.80000000000021,80.38,71,3,8.84
780,kudahuvadhoo,3.600000000000037,63.200000000000216,80.6,69,20,6.82
781,mahibadhoo,3.600000000000037,69.60000000000022,81.1,70,36,10.8
782,felidhoo,3.600000000000037,76.00000000000023,82.0,71,47,12.84
783,hambantota,3.600000000000037,82.4000000000002,81.55,79,94,13.35
784,banda aceh,3.600000000000037,88.80000000000024,82.38,74,92,12.08
786,tanjong malim,3.600000000000037,101.60000000000025,72.82,98,100,1.41
787,pemangkat,3.600000000000037,108.00000000000023,80.78,76,100,5.26
788,miri,3.600000000000037,114.40000000000026,73.72,99,99,1.59
789,manuk mangkaw,3.600000000000037,120.8000000000003,83.25,75,93,6.22
790,sarangani,3.600000000000037,127.20000000000027,82.81,74,79,5.48
791,kloulklubed,3.600000000000037,133.60000000000025,83.16,71,99,1.12
792,biak,3.600000000000037,140.00000000000028,83.52,64,42,5.79
793,lorengau,3.600000000000037,146.40000000000032,82.96,63,91,1.92
794,kavieng,3.600000000000037,152.8000000000003,81.7,62,36,3.22
796,butaritari,3.600000000000037,165.6000000000003,82.98,68,11,13.29
799,kapaa,10.80000000000004,-180.0,81.57,75,83,7.61
808,cabo san lucas,10.80000000000004,-122.39999999999995,80.1,77,9,4.74
811,acapulco,10.80000000000004,-103.19999999999993,82.09,70,99,3.78
812,pochutla,10.80000000000004,-96.79999999999993,82.96,69,100,6.13
813,acajutla,10.80000000000004,-90.39999999999992,80.44,80,92,6.31
814,pital,10.80000000000004,-83.99999999999991,76.28,94,94,1.81
815,ailigandi,10.80000000000004,-77.59999999999991,83.79,81,84,19.64
816,santa rita,10.80000000000004,-71.1999999999999,81.73,75,48,7.09
817,barcelona,10.80000000000004,-64.7999999999999,82.9,79,43,16.71
818,scarborough,10.80000000000004,-58.39999999999989,83.19,75,73,21.41
819,mana,10.80000000000004,-51.999999999999886,82.72,75,15,23.96
820,cayenne,10.80000000000004,-45.59999999999988,81.64,74,57,21.09
821,acarau,10.80000000000004,-39.199999999999875,81.0,79,100,19.33
824,oussouye,10.80000000000004,-19.999999999999858,82.11,73,61,5.14
825,fria,10.80000000000004,-13.599999999999852,73.17,96,99,1.19
826,kolondieba,10.80000000000004,-7.1999999999998465,78.75,72,100,4.03
827,bolgatanga,10.80000000000004,-0.7999999999998408,78.58,77,99,2.95
828,kontagora,10.80000000000004,5.600000000000165,74.14,90,72,5.57
829,biu,10.80000000000004,12.00000000000017,71.87,80,100,6.31
830,melfi,10.80000000000004,18.400000000000176,73.17,90,100,5.66
831,birao,10.80000000000004,24.800000000000182,77.58,74,100,10.09
832,abu jubayhah,10.80000000000004,31.200000000000188,79.5,61,81,3.6
833,finote selam,10.80000000000004,37.60000000000019,44.46,67,56,5.64
834,berbera,10.80000000000004,44.0000000000002,85.21,60,73,7.25
835,bargal,10.80000000000004,50.400000000000205,69.48,82,33,2.91
837,kavaratti,10.80000000000004,63.200000000000216,78.26,71,90,4.5
839,ponnani,10.80000000000004,76.00000000000023,76.39,94,100,1.57
840,mullaitivu,10.80000000000004,82.4000000000002,83.14,78,31,10.83
841,port blair,10.80000000000004,88.80000000000024,82.98,77,28,11.05
843,trat,10.80000000000004,101.60000000000025,77.31,85,100,7.96
844,phan thiet,10.80000000000004,108.00000000000023,77.07,86,100,4.65
845,taburi,10.80000000000004,114.40000000000026,82.22,76,94,4.27
846,suba,10.80000000000004,120.8000000000003,82.63,79,99,11.65
847,sulangan,10.80000000000004,127.20000000000027,83.03,76,100,8.93
848,meyungs,10.80000000000004,133.60000000000025,78.82,84,100,8.57
849,airai,10.80000000000004,140.00000000000028,83.66,69,100,5.75
859,nanakuli,18.000000000000043,-160.79999999999998,78.19,71,9,14.99
864,guerrero negro,18.000000000000043,-128.79999999999995,76.86,79,81,11.77
867,tomatlan,18.000000000000043,-109.59999999999994,80.17,71,96,9.55
868,coalcoman,18.000000000000043,-103.19999999999993,83.66,76,86,3.0
869,ayautla,18.000000000000043,-96.79999999999993,66.13,86,84,5.14
870,reforma,18.000000000000043,-90.39999999999992,75.16,97,85,3.38
871,barra patuca,18.000000000000043,-83.99999999999991,82.98,77,99,11.68
872,mandeville,18.000000000000043,-77.59999999999991,78.19,87,96,0.85
873,barahona,18.000000000000043,-71.1999999999999,78.89,88,100,4.52
874,road town,18.000000000000043,-64.7999999999999,81.39,75,42,13.98
875,saint-francois,18.000000000000043,-58.39999999999989,82.4,73,10,15.64
876,bathsheba,18.000000000000043,-51.999999999999886,81.0,69,8,17.45
877,sinnamary,18.000000000000043,-45.59999999999988,79.63,72,2,17.6
878,ponta do sol,18.000000000000043,-39.199999999999875,79.2,74,1,18.43
881,santa maria,18.000000000000043,-19.999999999999858,77.4,81,0,16.51
882,bababe,18.000000000000043,-13.599999999999852,89.08,13,25,11.32
883,nara,18.000000000000043,-7.1999999999998465,80.17,20,80,11.3
884,gao,18.000000000000043,-0.7999999999998408,80.73,19,8,11.83
885,arlit,18.000000000000043,5.600000000000165,89.37,21,8,6.44
886,bilma,18.000000000000043,12.00000000000017,81.43,15,0,10.4
887,faya,18.000000000000043,18.400000000000176,83.46,15,3,12.71
888,kutum,18.000000000000043,24.800000000000182,72.09,26,61,11.45
889,marawi,18.000000000000043,31.200000000000188,85.62,15,24,17.92
890,tawkar,18.000000000000043,37.60000000000019,78.71,81,14,13.09
891,najran,18.000000000000043,44.0000000000002,64.99,27,5,4.56
892,salalah,18.000000000000043,50.400000000000205,78.62,30,65,7.63
894,sur,18.000000000000043,63.200000000000216,77.9,66,22,2.13
895,veraval,18.000000000000043,69.60000000000022,79.99,71,97,9.84
896,tuljapur,18.000000000000043,76.00000000000023,68.9,68,30,9.82
897,chitrakonda,18.000000000000043,82.4000000000002,68.76,95,57,1.41
898,paradwip,18.000000000000043,88.80000000000024,83.48,81,24,8.86
899,myanaung,18.000000000000043,95.20000000000027,74.3,93,31,2.51
900,loei,18.000000000000043,101.60000000000025,74.37,99,84,0.96
901,dong hoi,18.000000000000043,108.00000000000023,81.36,82,75,9.53
902,wanning,18.000000000000043,114.40000000000026,81.32,84,41,11.81
903,padong,18.000000000000043,120.8000000000003,71.92,87,10,3.04
904,dicabisagan,18.000000000000043,127.20000000000027,83.01,69,57,11.56
905,alugan,18.000000000000043,133.60000000000025,81.9,74,9,11.21
917,kahului,25.200000000000045,-154.39999999999998,75.25,74,40,11.59
920,lompoc,25.200000000000045,-135.19999999999996,68.25,65,0,7.29
922,san quintin,25.200000000000045,-122.39999999999995,67.64,61,13,5.21
924,topolobampo,25.200000000000045,-109.59999999999994,79.59,70,50,16.64
925,san pedro,25.200000000000045,-103.19999999999993,80.17,32,0,7.16
926,matamoros,25.200000000000045,-96.79999999999993,80.11,69,0,9.4
927,progreso,25.200000000000045,-90.39999999999992,81.19,77,63,11.39
928,key west,25.200000000000045,-83.99999999999991,80.67,70,82,18.52
929,nassau,25.200000000000045,-77.59999999999991,80.65,68,88,19.95
930,cockburn town,25.200000000000045,-71.1999999999999,79.7,70,100,19.42
932,codrington,25.200000000000045,-58.39999999999989,80.22,73,73,12.5
